0,0,-2,-4,-6,-8,-10,-12,-14,-16,-18,-20,-22,-24
2,1.3574,1.3515,1.3456,1.3397,1.3229,1.3059,1.2844,1.2583,1.2321,1.198,1.1638,1.1223,1.0808
3,1.475,1.4681,1.4613,1.4544,1.4356,1.4168,1.3919,1.361,1.3301,1.2879,1.2457,1.1933,1.1409
4,1.5328,1.5255,1.5182,1.511,1.4902,1.4695,1.4414,1.4058,1.3702,1.3204,1.2705,1.2129,1.1553
5,1.5675,1.5601,1.5528,1.5454,1.5228,1.5,1.4684,1.4281,1.3877,1.3345,1.2813,1.2214,1.1615
6,1.5922,1.5848,1.5775,1.5701,1.5453,1.5205,1.4859,1.4412,1.3967,1.3423,1.2878,1.2268,1.1657
